ICAO,Name,City,Elevation,Longitude,Latitude
WAUV,Fiyak Airstrip,Ubrub,346,141.5657196,-4.677701473
WAUW,Wasior,,40,134.5059662,-2.720332146
WAUX,Idam Airstrip,Ubrub,203,141.258728,-4.143185139
WAUY,Sangkulirang Airport,Sangkulirang,5,118.5997391,2.196974516
WAUZ,Saukorem Airport,Saukorem,20,133.154892,-0.553290784
WAVA,Mulia,,5773,137.9571228,-3.701905727
WAVB,Jayawijaya,,4461,138.6776276,-3.684567213
WAVC,Ilu,,6351,138.2002106,-3.705317259
WAVE,Elelim,,1500,139.3847351,-3.785467386
WAVF,Tanahmerah Airport,Tanahmerah,223,139.7365265,-5.004576683
WAVG,Karubaga,,5066,138.4790039,-3.684401989
WAVI,Ubrub Airport,Ubrub,3220,139.9711304,-4.258360386
WAVK,Ubrub Airport,Ubrub,6377,140.3929291,-4.464856625
WAVL,Ubrub Airport,Ubrub,3077,140.4844513,-4.439939499
WAVM,Ubrub Airport,Ubrub,4706,140.2625275,-4.463867188
WAVN,Ubrub Airport,Ubrub,5098,140.1301117,-4.452228546
WAVO,Ubrub Airport,Ubrub,5534,140.1668396,-4.432676315
WAVP,Ubrub Airport,Ubrub,3936,140.2667694,-4.316315651
WAVQ,Ubrub Airport,Ubrub,2779,140.1983032,-4.261457443
WAVR,Ubrub Airport,Ubrub,3508,140.2051544,-4.217403412
WAVS,Ubrub Airport,Ubrub,4138,140.2128754,-4.318618298
WAVT,Tiom,,6891,138.4555359,-3.925586462
WAVU,Ubrub Airport,Ubrub,6391,140.4620819,-4.539482594
WAVY,Ubrub Airport,Ubrub,6243,140.4998169,-4.585960388
WAVZ,Ubrub Airport,Ubrub,6515,140.531311,-4.620387077
WAWB,Betoambari,,105,122.5695953,-5.486350536
WAWC,Ibele Airstrip,Wurigelebur,6249,138.7964783,-4.051926136
WAWD,Matahora,,57,123.6363373,-5.292220116
WAWF,Ilugwa/Antara Airport,Wurigelebur,6407,138.9216766,-3.83585763
WAWG,Geyarek Airstrip,Wurigelebur,198,138.7523346,-4.64989233
WAWH,Selayar/Aroepala Airport,Bantaeng,13,120.4374542,-6.178849697
WAWI,Arsbol Airstrip,Wurigelebur,2794,138.9372406,-3.693994284
WAWJ,Kobakma Airstrip,Wurigelebur,3113,139.0583496,-3.666459799
WAWK,Koropun Airstrip,Wurigelebur,5879,139.6499023,-4.479314327
WAWL,Hubliki Airstrip,Wurigelebur,1822,139.2867584,-3.731785536
WAWM,Iray Airstrip,Warmare,6402,133.9107208,-1.330408216
WAWN,Landikma Airstrip,Wurigelebur,3199,139.2423248,-3.821157217
WAWP,Sangia Nibandera,,39,121.5239792,-4.339617252
WAWR,Sugimanuru,,114,122.5645294,-4.763576508
WAWS,Soroako,Soroako,1388,121.3561172,-2.530406952
WAWT,Nipsan Airstrip,Wurigelebur,5520,139.6473236,-4.116702557
WAWV,Panggema/Hasan Airport,Wurigelebur,4733,139.3777466,-4.135005474
WAWX,Pass Valley Airstrip,Wurigelebur,6329,139.1003723,-3.858728886
WAWY,Piramid Airstrip,Wurigelebur,5568,138.7642212,-3.901612759
WAWZ,Polimo Airstrip,Wurigelebur,5412,139.0340118,-4.219331741
WAXA,Prongkoli Airstrip,Wurigelebur,6299,139.3422699,-4.188342094
WAXB,Sela Airstrip,Wurigelebur,6370,139.7345734,-4.550452232
WAXC,Silimo Airstrip,Wurigelebur,5626,138.9429626,-4.466093063
WAXD,Soba Airstrip,Wurigelebur,5927,139.1789093,-4.345889091
WAXE,Sumo Airstrip,Wurigelebur,198,139.3533173,-4.75049448
WAXG,Tangma Airstrip,Wurigelebur,5800,139.0466003,-4.259651184
WAXH,Walerek Airstrip,Wurigelebur,2366,139.4920807,-3.993381977
WAXJ,Wandama Airstrip,Wurigelebur,732,138.5522461,-4.546952724
WAXK,Wolo Airstrip,Wurigelebur,5804,138.8602753,-3.850445509
WAXL,Yogosem Airstrip,Wurigelebur,8050,139.1689758,-4.247664928
WAXM,Weda Bay Airport,Weda,22,127.945015,0.468342185
WAXN,Apalapsili Airport,Wurigelebur,3065,139.3108368,-3.881910563
